,description,created_at
2456,กูงงมากเลย ว่าคนที่มีตรรกะวิบัติ แบบนี้แม่งมาเป็นครูได้ไงว่ะ #รั้วฟ้าแดง  #ความล้มเหลวของระบบการศึกษาไทย  #ขออภัยที่ข่าวสารไปไม่ถึงคุณ https://t.co/U7Rsz9G4FN,2021-02-24 05:51:28
2457,เพิ่งมารู้ตัวว่าตัวเองชอบอะไรตอนทำงานแล้ว😢 #การศึกษาไทย,2021-02-24 06:04:33
2458,วันนี้ครูวิชานึงพูดในห้องว่า ผช.ก็ชอบผญ.เขียนหนังสือเรียบร้อยทุกคนไรงี้ ละคือเราไม่ใช่คนเขียนเรียบร้อยอยู่แล้วค่อนไปทางเขียนไม่สวย พอได้ยินแบบนี้แล้วรู้สึกว่าครูแบ่งแยกมาก ครูที่มองคนอยู่แค่นี้ก็คือแย่มากๆนะ #ความล้มเหลวของระบบการศึกษาไทย,2021-02-24 06:28:58
2459,"เมื่อไรการศึกษาไทยจะพัฒนาอีควายแค่ถักเปียมั้ยกูไม่ได้ไปฆ่าใครตาย
#การศึกษาไทย",2021-02-24 06:30:12
2461,"การที่เอานร.ไปยืนสวดมนต์ ร้องเพลงชาติกลางแดดตอนเที่ยง แล้วบอกว่า
""ร้องดังๆไม่ได้รึไง ทำไมต้องให้สอน ทีเรื่องหาผัวกูยังไม่ต้องสอนพวกมึงเลย!!"" มันใช่เรื่องหรอ #การศึกษาไทย",2021-02-24 07:22:38
2462,"วิชาลูกเสือ ครูเอาน.ร ไปยืนกลางแดดและแหกปากร้องเพลงชาติ(แต่ครูยืนในร่ม) แล้วบอกฝึกความอดทน 
#การศึกษาไทย",2021-02-24 07:24:22
2463,"มันก็แค่ความคิดของเด็กอายุ16
#การศึกษาไทย https://t.co/Sjem0pP4WP",2021-02-24 07:29:44
2464,น้องชั้นที่อยู่แค่ม.1 แกดูดิ การศึกษาไทยแม่งทำร้ายเด็กมากี่คนละ สงสารว่ะ สงสารตัวเองด้วยที่จะตายกับสอบแม่งทุกวี่ทุกวัน #การศึกษาฆ่าฉัน #คลับเห่า https://t.co/DdyIjY1qOb,2021-02-24 07:52:35
2465,"“ถ้าหากคุณต้องชำระประวัติศาสตร์ แสดงว่าประวัติศาสตร์คุณไม่โต คือมันสกปรกไม่ได้ ไม่มีใครมาแปดเปื้อน ประวัติศาสตร์ต้องเปื้อน เปื้อนถึงจะได้โต” ย้อนอ่านมุมมองของอ.ธเนศ อาภรณ์สุวรรณ ต่อเรื่อง #ประวัติศาสตร์

#การศึกษา #วิชา #ศิลปวัฒนธรรม #SilpaMag

https://t.co/A01iGpsJ5e @Silpa_Mag",2021-02-24 08:15:41
2466,ทำไมเราไม่เรียนในชีทอ่ะ เอาหนังสือไปก็หนัก เล่มนึงเป็นร้อยหน้า เรียนไม่ถึง5หน้าด้วยซ้ำ เเล้วจะเเบกไปเพื่อ เปลี่ยนหนังสือเป็นชีทดีกว่ามั้ย จากมุมมองเรานะ.. #การศึกษาฆ่าฉัน,2021-02-24 10:04:26
2468,หมดpassionในการศึกษาไทยแล้วคือต้องคัดทรงนี้นะ ต้องผูกโบว์ ต้องใส้ถุงเท้าแบบนี้ ต้องใส่กระโปรงยาวเลยเข่าใส่สั้นไม่ได้ ไม่ให้เอาโทรศัพท์ไป คือต้องทำตามกฎระเบียบในรร.เรียนทุกข้อเลยหรอ? สั่งนู้นสั่งนี้ไปหมด ต้องการอะไรจากเด็กนักเรียน ปสด. ชิบหาย #การศึกษาไทย,2021-02-24 10:42:36
2477,"คือรร.เราตอนนี้มีกฎห้ามใส่เสื้อกันหนาวทั้งๆที่ช่วงนี้อากาศตอนเช้าหนาวมากเลย;-; รองผอ.ให้เหตุผลว่ามันไม่มีตราโรงเรียน ถ้าหนาวก็ไปอาบน้ำร้อน อยากใส่ก็ไปขอ ""ใบอนุญาต"" วันนี้คาบอิ้งมีเพื่อนบางคนโดนจดชื่อและถ่ายรูปไปเพราะใส่เสื้อกันหนาวในห้องเรียน... #การศึกษาไทย",2021-02-24 11:08:28
2478,#การศึกษาไทย สั่งงานเหมือนเก็บกดอะอีเหี้ย ทำไมกูมาเกิดในประเทศที่การศึกษาปสด.แบบนี้วะ,2021-02-24 11:08:36
2482,เอาจริงต่อให้สามีทยาหลุดเก้าอี้รมต. แต่คนคุมกระทรวงจริงๆคือคุณหญิงคนนั้นที่แอบใส่สูตรตำราเรียนที่เก่ามากคุมมาจะ20ปีแล้วก็อย่างที่เห็น เรียนเหมือนเดิมเนื้อหาไม่ปรับให้อิงสากล เพิ่มเติมเรียนFulltime ไม่ลดกิจกรรมไม่เป็นประโยชน์ กิจกรรมเบียดเบียนกระเป๋าตังค์ผปค.อีก #การศึกษาไทย,2021-02-24 11:20:41
2483,ใกล้สอบแล้วยังจะสั่งงานกลุ่มเพิ่มอีกเครียดจะตายอยู่แล้ว ผมอยากตาย ผมไม่ไหวแล้ว กดดันมาก เครียดเหนื่อย ไม่อยากอยู่อีกแล้ว อยากหลุดพ้นสักที #การศึกษาฆ่าฉัน,2021-02-24 11:21:46
2490,"""ทำไมเด็กที่เรียนพิเศษถึงได้แนวข้อสอบ?"" จริงอยู่การที่เด็กเรียนพิเศษจะได้ความรู้เพิ่มเติมเพื่อให้คุ้มค่ากับเงินที่เสียไป แต่อีกมุมก็อดคิดไม่ได้เลยว่าเด็ก ๆ เหล่านั้นจะได้อะไรเป็นการตอบแทน

อ่านเพิ่ม: https://t.co/YIeEIk7mHS

#SWITCH #educage #เมื่อการศึกษากักขังฉัน #การศึกษาไทย https://t.co/gVGDmMhoRR",2021-02-24 12:05:38
2493,📍ฝากรีหน่อยนะคะ พี่ที่โรงเรียนเรากำลังจะถูกเรียกผปค.เพียงเเค่ถือป้ายค่ะ ช่วยกันหน่อยนะคะ 😢 #การศึกษาฆ่าฉัน #Dek64 #dek65 https://t.co/ClX5lvfozn,2021-02-24 12:12:02
2495,กระจกห้องเรียนแตก คือเท่ากับเด็กต้องทำแบบนี้หรอ? #การศึกษาฆ่าฉัน,2021-02-24 12:22:07
2496,เสียดายที่รู้ว่าตัวเองชอบทำอะไร เก่งอะไรสักอย่างมากๆ แต่ดันเกิดในประเทศที่สนใจแต่เกรดเฉลี่ย❗📚#การศึกษาไทย,2021-02-24 12:23:04
2497,หัวหน้าสายแล้วไงอ่อ ก็คนเหมือนกันป่ะ #การศึกษา #การศึกษาฆ่าฉัน,2021-02-24 12:24:29
2501,อยากรู้ว่าการเข้าแถวแบบเช็คชื่อที่มีแค่มา ลา ขาด ไม่มีสายมันดีแล้วหรอเด็กบ้างคนมีช้าไม่ก็นาทีก็โดนเช็คขาดแทนที่จะเป็นมาสายไหม #การศึกษา #การศึกษาไทย #อาคารใหม่พื้นทรุด,2021-02-24 12:44:53
2502,"อิเวง งงนะคะ คือการที่เด็กส่งงานไม่ครบ ไม่คิดว่าครูสั่งงานเยอะไปหรอคะ
หรือการที่เด็กสอบไม่ผ่านนี่ ไม่คิดว่าตัวคุณครูเองออกข้อสอบยากหรอคะ แล้วคือเพื่อนเราส่งงานไม่ครบก็เลยติด ร. ครูเลยให้ทำงานแก้ แล้วครูคิดไหมคะว่าถ้าทำงานแก้แล้วเด็กจะมีวินัยในการส่งงานมากขึ้น 
#การศึกษาไทย",2021-02-24 12:52:34
2503,"คือรร.เราทำเนื่องการเข้าเเถวยุ่งยากมากๆใครที่ลา+สาย=ขาด คือเหมือนมึงต้องป่วยกูถึงลาให้มึง เเล้วเรื่องนี้เชิญผู้ปกครองแแล้วมีผู้ปกครองบางท่านไม่ว่างมาล่ะไปบอกครู ครู:เอาใบลาออกมั้ย เอ้ามาเรียนค่ะ ย้ำกูมาเรียนกูไม่ได้มาเข้าเเถว #การศึกษาไทย #การศึกษาฆ่าฉัน
#อาคารใหม่พื้นทรุดบ่มึง",2021-02-24 12:53:29
2506,วันนี้เราเรียนที่โรงเรียนค่ะ แล้วสิ่งที่เกิดขึ้นคือเราต้องออกไปทำท่าประกอบค่ะ ทีนี้เราเป็นเพศที่สาม พอทำท่าเสร็จ ครูเขาถามว่า หนูเป็นไหม ตอนนั้นเราตกใจมากไม่เคยโดนคนที่ไม่สนิทถามคำถามแบบนี้มาก่อนเลย เราเลยบอกครูว่าขอไม่ตอบขอเป็นพื้นที่ส่วนตัว (1) #หนูเป็นมั้ย #การศึกษา,2021-02-24 13:01:53
2510,"ทำไมกูต้องมานั่งเครียดจนหายใจไม่ออกกับการศึกษาไทยขนาดนี้อ่ะเรียนวันละ7-8ชั่วโมงแบกหนังสือสมุดไม่ต่ำกว่าห้าเล่มต่อวันเดินเรียนเปลี่ยนคาบทุกชั่วโมงกับแดดร้อนๆทำการบ้านดึกตื่นสายนอนไม่เต็มอิ่มเพื่อไปให้ทันเข้าเเถวถ้าไม่ทันเข้าเเถวหักคะเเนนพฤติกรรม(1)
#ความล้มเหลวของระบบการศึกษาไทย",2021-02-24 13:12:37
2511,"กูต้องนั่งเครียดกับงานที่สั่งๆมาเยอะเเยะว่ากูต้องทำอะไรก่อนกูนั่งกินข้าวกับเเม่มันอัดอั้นมากเลยกูอยากจะร้องไห้ตลอดเวลากูกลั้นเเทบไม่อยู่กูไม่อยากให้เเม่เครียดไปด้วยมันเหนื่อยมาก(2)
#ความล้มเหลวของระบบการศึกษาไทย",2021-02-24 13:17:28
2512,"ลืมหนังสือไว้บ้าน นี่คือต้องบอกว่าเอาไว้ให้บ้านเรียนหรอคะ ถ้าครูมีสมองครูก็จะรู้นะคะว่าบ้านเรียนหนังสือไม่ได้ เป็นเห้อะไร ลืมหนังสือนี่ผิดหรอ  อิฟวย ต่างประเทศมีไอแพดเครื่องเดียวจบ
#การศึกษาไทย",2021-02-24 13:19:18
2513,การศึกษาไทยที่อยากทำเด็กตายทุกวัน   รู้บ้างมั้ย #การศึกษาไทย,2021-02-24 13:23:18
2514,"การศึกษาไทยเป็นอะไรที่แย่มากอะ เอาแต่อัดงานให้เด็ก ไม่เคยปลอยให้เด็กได้มีเวลาหาสิ่งที่ตัวเองชอบเลย เรียนวันละ 7-8 ชั่วโมง สั่งงานทุกวิชา ไหนจะรายงานอีก พิมพ์ทีปริ้นทีไม่ใช่บาทสองบาทนะ  ระบบการศึกษาแบบนี้หรอที่เรียกว่าระบบการศึกษาที่ดี 

#ความล้มเหลวของระบบการศึกษาไทย",2021-02-24 13:24:11
2516,"เคยมานั้งคิดว่าจริงๆแล้วสิ่งที่เรียนนั้นเราได้อะไรจากมันจริงๆหรอ มันก็ไม่ได้อะ แล้วจะเรียนวิชาที่ไม่จำเป็นไปทำไม วิชาหลักๆที่เรียนก็แทบไม่ได้ใช้อะไรเลย 

#ความล้มเหลวของระบบการศึกษาไทย",2021-02-24 13:29:52
2517,"ทำไมพอบอกว่าเกรดออกต้องถามว่าได้เท่าไหร่ พอเราบอกว่าตัวอื่นได้เยอะแต่ตกอยู่อันเดียวทำไมต้องบ่นว่าคะแนนน้อย ทั้งที่ตัวอื่นๆเราผ่านหมดอะเราก็พยายามแล้วปะ ก็เหนื่อยแล้วเหมือนกัน เราไม่ได้เป็นอัจฉริยะนะ จะได้เก่งทุกเรื่องอะ

#การศึกษาไทย 
#ครอบครัวไม่ใช่เซฟโซน 
#เหนื่อยกับชีวิต",2021-02-24 13:33:38
2522,มึงเข้าใจฟิลแบบกูเรียนไม่รู้เรื่องอ่ะแล้วคือไม่ได้อยากเข้าใจแล้ว แต่ครูก็แม่งนัดตลอดยิ่งทำให้กูเกลียดขึ้นเรื่อยๆ  แล้วมันไม่คิดถึงใจเด็กเลยอ่อว่าอยากเรียนมั้ยอ่ะ กูก็รู้ว่าครูมันอยากทำให้เด็กเข้าใจเเต่มึงคิดถึงสภาพเด็กด้วย กูละท้ออ #การศึกษาไทย #เบื่อ #โรงเรียนไทย,2021-02-24 13:51:52
2523,เป้าหมายต่างกันก็ไม่จำเป็นต้องเรียนเก่งด้านเดียวกันหรือเรื่องเดียวกันแล้วทุกคนมีความชอบต่างกันทำไมต้องบังคับให้เรียนเหมือนกันวะ งง? #การศึกษาไทย #เรียน #เบื่อ,2021-02-24 13:57:14
2524,"คือเหี้ยนะ จะเอาคะเเนนทดสอบก่อนเรียนมาเป็นคะเเนนเก็บ ซึ่ง
ก่อนเรียน=ยังไม่เคยเรียน
กุจะเอาอะไรมาสอบก่อนอีควาย ประสาทกลับหรออีเหี้ย เเล้วคือครูคนนี้หลายหนเเล้วจ้า พอเด็กได้คะเเนนน้อยคือยิ้มเยาะ ขิงนักขิงหนาว่าวิชาตัวเองมีคนได้เกรดสี่น้อย น่าภูมิใจ? 
#การศึกษาฆ่าฉัน
#การศึกษาไทย",2021-02-24 14:03:33
2526,รู้ว่าหวังดีแต่ไม่เข้าใจความรู้สึกกันก็อย่ามาบีบบังคับกันเลย #การศึกษาฆ่าฉัน,2021-02-24 14:32:23
2527,บอกนักเรียนควรพักผ่อนให้เพียงพอ แล้วดูสั่งงานดิ #การศึกษาไทย,2021-02-24 14:34:54
2528,"วันนี้คาบภาษาไทย ครูถามเพื่อนว่าติดมหาลัยอะไรไหนกันแล้วบ้าง พอถามเรา เราตอบไปว่า""ราชภัฏสวนสุนันทา""ครูมองด้วยสายตาแปลกๆและพูดว่า
""ทำไมเอาแค่นี้?""  เราก็พยายามพูดอธิบายแต่ครูก็ไม่ได้สนใจ และสายตาดูถูกมาก เด็กก็มีความรู้สึก #การศึกษาฆ่าฉัน #การศึกษาไทย",2021-02-24 14:42:43
2529,รู้สึกเหนื่อยมากอ่ะแบบบอกไม่ถูก เราพยายามทำตลอดแต่ดูสิ่งที่มันตอบแทนเราโคตรท้อของท้ออ่ะมันน้อยลงเรื่อยๆ ตั้งใจอ่านมากนะเว้ยรู้มั้ยมันเหนื่อยและเสียเวลา เราคงเกิดมาโง่จริงๆนะแหละ  #คะแนนสอบ #การศึกษาไทย,2021-02-24 14:42:59
2530,อยู่ในจุดที่นั่งดูพี่เอก HRK ไลฟ์แล้วร้องไห้ ยิ้มไม่ออกหัวเราะไม่ออก เครียดเรื่องงานที่ต้องส่ง เรื่องสอบที่จะถึง คิดว่าที่ผ่านมาม.4 ม.5 เหนื่อยแล้วนะ แต่เทียบกับตอนม.6ไม่ติดเลย แม่งเกินคำว่าเหนื่อยไปอีก มันทั้งเครียดทั้งกดดัน แต่ต้องอยู่ต่อให้ได้อะ #การศึกษาฆ่าฉัน,2021-02-24 14:48:36
2531,"#โรงเรียนชื่อดังย่านบ้านบัว
#ความล้มเหลวของระบบการศึกษาไทย
#ความล้มเหลวของการศึกษาไทย
เราอัดคลิปเสียงนี้ไว้ค่ะ

**เด็กกินข้าวเวลาเข้าแถว
เรามองว่า  เด็กบางคนไม่ได้กินข้าวมาตั้งแต่บ้าน
และในวันนั้นสอบ  เขากินในเวลาแถว
เราว่าก็ไม่ควรเอาไปทิ้งลงถังขยะนะคะ https://t.co/x1yzE6wxAF",2021-02-24 14:53:04
2532,"จริงหรือเปล่า? เด็กนักเรียนสมัยเอโดะต้องนำโต๊ะเรียนไปเอง!
https://t.co/uyzWWb02ZE
#การศึกษา #ญี่ปุ่น #ประวัติศาสตร์ #เอโดะ",2021-02-24 15:01:03
2534,"การศึกษาที่ดี มันควรจะฟรีด้วยซ้ำไป...

#ทางข้างหน้า #การศึกษา",2021-02-24 15:12:18
2536,"ครูดีๆมีเยอะแยะ แต่ทำไมตำแหน่งครูดีเด่น เงินเดือนที่เพิ่มขึ้น เขากลับไม่ได้รับสิทธิ์นั้นไป?
#ความล้มเหลวของระบบการศึกษาไทย 
#แม่พิมพ์ของชาติ",2021-02-24 15:17:30
2537,การศึกษาไทยคือสอนให้นร/นศคิด วิเคราะห์แค่นามธรรมหรือเปล่า พอ นร/นศ พยายามลองคิด ก็โดนตำหนิ โดนบอกว่าทำงานออกมา แบบไม่ได้คิดวิเคราะห์ ไม่ได้ถูกฝึก แต่ถูกสอนให้ self education ตลอด เข้าใจระดับหนึ่งว่าต้องเรียนรู้ด้วยตัวเองบ้างแต่ไม่สอนเลยให้ทำเองแบบนี้จะจ่ายค่าเทอมทำไม #การศึกษาไทย,2021-02-24 15:23:35
2538,ก็คือมีการบ้านทุกวันจนวันนี้รู้สึกว่าทำงานมาตลอดสั่งอยู่นั่นแหละไม่เหนื่อยบ้างหรอหรือจริงๆแล้วเราไม่ได้ทำมัน แต่เราก็ทำตลอดนะ แงงเหนื่อย;-; #การศึกษาไทย #การบ้าน #การศึกษาฆ่าฉัน,2021-02-24 15:33:47
2539,พอ นศ.ประท้วงให้ลดค่าเทอม ก็คือรีบให้เลิกเรียนออนไลน์ทันที ทั้งที่อีก2อาทิตย์คือสอบไฟนอล ทั่งยังอนุญาตให้อ.สอนชดเชยไปจนจบภาคฤดูร้อนด้วย ผลักภาระมาที่นักศึกษาเต็มๆเลย ไม่รู้ว่ากลัวอะไรอ่ะนะคะ #มทรกรุงเทพ #ความล้มเหลวของการศึกษาไทย,2021-02-24 15:36:11
2540,เราอยากรู้ว่าทำไมต้องเรียนวิชาห้องสมุด ทำไมต้องเรียนแนะแนว คือห้องสมุดเรียนอะไรที่แบบเราคิดว่ามันไม่สำคัญเลยคือเราไปอ่านที่ป้ายในห้องสมุดก็ได้ใช่มะ แล้วก็ใบแหล่งเรียนรู้คือภาระสุดจะว่างี้ได้มะ #การศึกษาไทย #เหนื่อย,2021-02-24 15:38:01
2542,"ก่อนสอบอ่านแทบตาย&gt;&gt;
&gt;&gt;สอบเสร็จ = ลืมจบบายจ้า
#การศึกษาฆ่าฉัน",2021-02-24 15:46:58
2543,ระบบการศึกษาคือระบบที่ไว้ทำให้เชื่องแล้วก็ล้าวสมองดีนี้เอง. #การศึกษาไทย,2021-02-24 16:07:45
2544,"รีวิวคุณครู""ท่านหนึ่ง"" แกสั่งงานเหมือนให้ลอกจากหนังสือลงสมุดอ่ะ สอนประมาณนาที5นาที นอกนั้นฟังโจทย์ราวๆ10ข้อ ทำไป3-4หน้า บางคาบ5หน้า คือ..เน้นปริมาณหรอคะ คุณภาพอ่ะ คุ้มกว่าปริมาณเยอะ ไม่เปลืองทรัพยากร เด็กได้สวย/หล่อ ฉลาด เรียนเยอะไม่ใช่ว่าจะเก่งนะคะ #ความล้มเหลวของระบบการศึกษาไทย",2021-02-24 16:42:27
2545,กูอยากเปิดเทอมฉิบหาย เรียนที่โรงเรียนกูก็โง่แล้ว ให้กูเรียนออนไลน์จนกูจะจบม.6อยู่แล้ว ไม่คิดอยากให้นักเรียน ได้ไปรร.หรือแบ่งแยกกลุ่มเป็น2กลุ่มก็ได้บ้างหรอ ถามจริง!!!!!!!!!!!#การศึกษาไทย #การศึกษาฆ่าฉัน,2021-02-24 18:26:54
2547,ทำไมเด็กที่เรียนศิลป์ภาษาต้องเรียนวิชาคณิตศาสตร์ เศรษฐศาสตร์ ถึงหน่วยกิตจะน้อยแต่งานของาองวิชานี้กลับเยอะกว่างานหลักๆของเด็กศิลป์ภาษา โดนบังคับให้เรียนคณิตศาสตร์ตั้งแต่ม.ต้น จนเรียนจบ สรุปคณิตศาสตร์ที่เรียนมาก็ไม่ได้ใช้เลย #ความล้มเหลวของการศึกษาไทย,2021-02-24 19:10:15
2548,กูเห็นเพื่อนกูบอกไม่ได้อยากเลือกคณะนี้แต่ถ้าเลือกคณะนั้นก็จะไม่มีงานทำ ไอ้เหี้ย แม่งทำไมว่ะ ไทยแม่งเฮงซวย คณะมีเยอะแยะชิบหายสุดท้ายที่ไปรอดได้แค่ไม่กี่คณะ กล้าเคลมป่ะว่าเด็กทุกคนจะมีงานทำตรงกับคณะที่เรียนมาอ่ะ #การศึกษาไทย,2021-02-24 21:36:03
2549,เกรดวิชาพละควรตัดสินจากความตั้งใจและการ participate ของเด็ก ไม่ใช่ตัดสินจากความเก่งหรือไม่เก่ง เด็กบางคนพยายามแล้วแต่เค้าไม่ใช่สายนี้ เด็กทุกคนมีความสามารถแตกต่างกันมันไม่ใช่ว่าเด็กจะต้องเก่งกีฬาเหมือนกันทุกคน เปลี่ยนได้เปลี่ยนนะ ฝากไว้ให้ครูพละบางคนคิด #ความล้มเหลวของการศึกษาไทย,2021-02-24 22:12:22
2551,วันๆพวกคุณบังคับแต่เด็กไปร.รแต่คุณไม่รู้เลยเหรอว่าเขาเหนื่อย คุณก็มีแต่บังคับเขานั้นแหละ #การศึกษาไทย,2021-02-24 23:57:55
2552,"อะไรอีกนะครูติดHEEคนนั้นอะ สอนก็ไม่สอน
สมุดประจำวิชาก็ไม่มี ไม่เคยจดไม่เคยเหี้ยอะไรเลย ได้เกรด4มาแบบงงๆ
สอนสค. 
#โรงเรียนชื่อดังย่านบ้านบัว
#ความล้มเหลวของการศึกษาไทย",2021-02-25 00:20:48
2553,ถ้าการศึกษาไทยมันดีนัก เด็กจะออกมาประท้วงเหรอ? #การศึกษาไทย,2021-02-25 00:39:16
2554,"ทางมอไม่คืนค่าเทอมแต่กลับให้นศ.ไปเรียนที่มอแค่ 2 อาทิตย์ก็ปิดเทอม และ
มีการจัดสอบในห้องเรียน การที่นศ.เรียนออนไลน์ค่าไฟ ค่าเน็ตที่จะจ่ายเพิ่มขึ้น และยังต้องมีความเสี่ยงติดโควิดอีก ขอความยุติธรรม  #การศึกษาไทย #การศึกษาฆ่าฉัน  #มหาลัยชื่อดังย่านสาทร",2021-02-25 01:06:53
2556,"ก็คนเหมือนกันอะ!! แต่มีสิทธิ์ไม่มากพอ เพราะเกิดหลัง🙄😌
#โรงเรียนชื่อดังย่านบ้านบัว 
#ความล้มเหลวของการศึกษาไทย 
#ความล้มเหลวของระบบการศึกษาไทย https://t.co/JaEJlXUHKn",2021-02-25 01:09:57
2558,"คิดย้อนไปรร. นี่ถือเป็นจุดเริ่มต้น&amp;แหล่งรวมความแบ่งชนชั้น, ความบูลลี่หน้าตารูปร่าง, การเลือกปฏิบัติกับคนที่เก่งหรือสวย หรือแม้กระทั่งกิจกรรมหลายๆอย่างในรร.ก็ทำร้ายจิตใจเด็กมากเหมือนกัน วันแม่งี้ #การศึกษาไทย",2021-02-25 01:14:18
2559,"โฮมรูมต้องเข้าตลอดเลยเหรอ ?
#การศึกษาไทย",2021-02-25 01:14:35
2560,ถ้ากูทำความผิดซ้ำสองแล้วให้ย้ายออกจะไม่ว่าอะไรเลย แต่นี้ผิดแค่ครั้งเเรกป๊ะ#การศึกษาไทย #การศึกษาฆ่าฉัน,2021-02-25 02:25:12
2562,กูแม่งเบื่ออจแม่งไม่มีสัมพันธืกับนศเลย พวกกูอยากเรียนชิบหายอ่ะกับคำพูดจามึงอ่ะ #การศึกษาไทย #การศึกษาฆ่าฉัน,2021-02-25 02:29:32
2563,กูจะโน๊ตไว้เลยว่าถ้ากูตาย กูตายเพราะเพื่อนทุกคนอจ เพราะแม่งเป็นแบบนี้กูไม่อยากอยู่หรอก #การศึกษาฆ่าฉัน,2021-02-25 02:30:10
2564,"โดนคุณครูบังคับไปโรงเรียน ในวันที่ทั้งประเทศหยุด ถ้าไม่ไปจะหักคะแนน 10 คะแนน

#การศึกษาฆ่าฉัน #การศึกษาไทย #โรงเรียนชื่อดังย่านบางบ่อ #ถ้าการเมืองดี #โรงเรียนนูกูย่านบางบ่อ",2021-02-25 02:39:38
2566,"เออแมร่งนั้นดิทำไมวะ

โรงเรียนทำป้าย ""แสดงความยินดี"" นักเรียนติดแพทย์ วิศวะฯ เภสัชฯ

โรงเรียนก็ต้องทำป้าย ""แสดงความยินดี"" นักเรียนที่ติดสาขาอื่นๆด้วย

#การศึกษา #Dek64 #dek65 #dek66 https://t.co/lHyTPd41PW",2021-02-25 03:09:32
2567,อยากจะรู้ว่าครูสอนให้เราสามัคคีได้ยังไงทั้งๆที่ครูยังแบ่งพรรคแบ่งพวกกันเลย #การศึกษาไทย,2021-02-25 03:12:50
2569,จงพิจารณาเหตุผล #การศึกษาฆ่าฉัน https://t.co/E4x9hBRpkL,2021-02-25 04:09:34
2570,เมื่อเด็กทุกคนสำเร็จการศึกษาจากรั้วมหาลัย ทุกคนย่อมมีความรู้เท่ากัน มีใบปริญญาบ่งบอกวุฒิความสำเร็จเหมือนกัน แต่ใครจะมีความก้าวหน้าทางการทำงานที่เร็วกว่าเพื่อนๆนั้นอยู่ที่ทักษะความเป็นผู้นำและการวางแผนของแต่ละบุคคล #การศึกษา #ฝากไว้ให้คิด,2021-02-25 04:13:12
2571,@foundyouxstby ไม่ง่ายหรอกลูก แค่มันสอบวัดความรู้ ไม่ได้สอบวัดความเป็นคน คนประเภทนี้เลยมีเยอะในสังคมครู ในขณะที่คนส่วนใหญ่ที่เป็นต้นแบบครูที่ดี อยากจะสอบผ่านแทบตาย แต่ก็สอบไม่ผ่านสักที #การศึกษาไทย,2021-02-25 04:37:42
2573,"นี่คือเรื่องจริงจากเพื่อนเราค่ะ เรื่องมีอยู่ว่า เพื่อนไปถามงานครูแต่ครูไม่อยู่ค่ะ ถามครูข้างๆแทน ซึ่งเป็นครูฝึกสอนค่ะ ระหว่างที่เพื่อนกำลังเดินออกได้ยินว่า""เด็กมันโง่""คำแบบนี้สมควรพูดกับเด็กจริงๆใช่มั้ยคะ?  #รรดังย่านนนทบุรี #ความล้มเหลวของระบบการศึกษาไทย",2021-02-25 05:14:04
2574,"กับข้าวโรงเรียนเอกชนค่าอาหาร1500นะคะทุกคน อยากจะให้ผอ.กลับไปคิดนะคะว่างบที่พวกเราจ่ายไปนี้มันดีแล้วหรอคะที่เด็กต้องมากินอาหารขยะหรืออาหารแบบนี้ ย้ำนะคะว่าเอกชน #การศึกษาไทย #การศึกษาฆ่าฉัน #การศึกษา #อาหารกลางวัน
 #เมนูมาม่ายอดฮิต
#โรงเรียนเอกชน https://t.co/7vNvAmbD6b",2021-02-25 05:14:32
2575,โรงเรียนเราช่วงนี้คือแบบให้เรียนชดเชยวันเสาร์เยอะมากกก นี่ก็ไม่เข้าใจเหมือนกันว่าจะให้เรียนทำไมเยอะแยะ รร. อื่นก็หยุดแบบนี้แต่เขาไม่ได้ให้มาเรียนเรียนชดเชยวันที่หยุดแบบนี้ป้ะ ละคือกูมีวันหยุดแค่วันเดียวจ้าา ทั้งอาทิตย์ วันๆนึงเรียนก็ไม่ใช่น้อยๆ #การศึกษาไทย #การศึกษาฆ่าฉัน,2021-02-25 05:17:11
2576,"การศึกษาไทยแบ่งแยกเด็กเก่ง&amp;เด็กที่ไม่เก่งอย่างชัดเจน ปฏิบัติกันอย่างไม่เท่าเทียมอย่างเห็นได้ชัด ให้ความสำคัญแต่กับเด็กที่เก่ง. #ความเท่าเทียมอยู่ตรงไหน 
#ความล้มเหลวของการศึกษาไทย",2021-02-25 06:00:27
2577,ขออนุญาต​เดี๋ยวนี้ครูเน้นด่ามากกว่าสอนหรอคะทำไมครูชอบพูดจาแรงๆพูดจาแดกดัน​ไล่ให้ย้ายไปที่อื่นทั้งๆที่เขาน่าจะเตือนดีๆแนะนำแนวทางให้ดีกว่าไหม​แค่ทำงานก็เหนื่อยจะตายแล้วมันโครตจะเยอะเยอะมากๆด้วยซ้ำแล้วมันก็ยากพอตัวเลย​มาเจอคำพูดแบบนี้อีกเด็กจะเรียนจบหรือตายก่อนกัน  #การศึกษาฆ่าฉัน https://t.co/eOl9JcdW3W,2021-02-25 06:00:38
2578,#การศึกษาไทย บางทีการศึกษา​ไม่ได้ฆ่าฉันหรอกครูต่างหากฆ่าเด็กทางอ้อมรึเปล่า​ คำพูดครูมีผลต่อจิตใจเด็กจริงๆนะนี่โดนคอมเม้นแรงๆก็ร้องไห้อ่ะ​ แล้วเพื่อนคือครูไล่ค่ะย้ายไปเรียนที่อื่นไหม? มีสิทธิ์​อะไรก่อน? #การศึกษาฆ่าฉัน https://t.co/EQRw1jS2ky,2021-02-25 06:04:27
